"<empty_1>","Word","Example","Class"
2331,"boot","To vomit explosively, particularly after drinking too much beer and/or hard alcohol.",2
2332,"ripe","Obviously drunk, usually indicated by the intense smell of alcohol either on the individual's breath or skin.",2
2333,"beer bitch","The loser of drinking games or the bottom rung person in any activity that involves hazing -- usually involves being forced to drink large quantities of alcohol in a short period of time.",2
2334,"Dobber","Another name for the dick",2
2335,"skate","(verb) to leave.",2
2336,"Gold","A shiny metal",2
2337,"beast","The best beer ever. Also called Milwaukee's Best Light. AKA Nectar of the gods.",2
2338,"Beast","Milwaukee's Best Light. The only beer found at UD and many other college campuses. Horrible taste but you get used to it only because it does the job.",2
2339,"roffal","The pronunciation of ROFL.",2
2340,"hellashibbycore","very good or exciting",2
2341,"sheep","any of a group that follows trends and/or fashions; can usually be found watching TRL, wearing clothes from The Gap or Hot Topic, and listening to whatever music is popular during that 5 minute timespan.",2
2342,"Pee 155","To be mocking of someone or something, variant of 'taking the piss'",2
2343,"Tight","adj. A person or a thing that looks good, acts cool, is cool or is stylish.",2
2344,"tizite","adj. syn. of 'tight'",2
2345,"axe","v. axed, axing ;; 1. To put a question to ;; 2. To make a request of ;; 3. To require or call for as a price or condition ;; 4. To expect or demand ;; syn. for ask",2
2346,"barbarian ass sex","To have sex in the anus in a barbaric manor.",2
2347,"ghey","A chatters synomyn for [gay]. Often used derogatorily to defame a person, thing, or event. Of or like a [Homosexual].",2
2348,"log","A large, round turd.",2
2349,"herper","n. one who is interested in herpetology, usually an amateur.",2
2350,"herping","v. to search for reptiles or amphibians",2
2351,"deadhead","n. a person that is very interested in the music of the Grateful Dead, Ratdog, The Other Ones, and frequently other jam bands.",2
2352,"jam bands","n. fusion of the musical styles of folk, country, blues, jazz, and rock. Generally attributed to bands that play with great emotion and symbosis with their audiences.",2
2353,"dudes","n. plural of [dude] however unlike the singular version, may refer to a group of guys and girls.",2
2354,"threads","n. fancy clothes",2
2355,"magic mushroom","1. n. generally refers to the fruiting bodies of the fungus in the genus psilocybe. 2. any non-poisonous mushroom with visionary or [entheogenic] properties.",2
2356,"entheogenic","n. a substance or process that draws one closer to the god within",2
2357,"nugs","n. slang; refers to cannabis in areas where it is illegal",2
2358,"B&P","n. Blank [CDR] and postage; used in the music trading community. v. to send a B&P",2
2359,"cdr","n. compact disc - recordable",2
2360,"goober","n. slang in the medical community for small abcesses in the groin or rectal area.",2
2361,"SAUSAGE PARTY","n. a social event that is comprised virtually of all males that includes sexual overtones.",2
2362,"X","n. slang for the drug Ecstasy (C11H15NO2) ;; (methylenedioxy-n-methylamphetamine) MDMA",2
2363,"xtc","n. slang for the drug Ecstasy (C11H15NO2) ;; (methylenedioxy-n-methylamphetamine) MDMA",2
2364,"Ecstasy","Methylenedioxy-n-methylamphetamine [MDMA] is a 'psychedelic amphetamine' that has gained popularity over the past 20 years because of its ability to produce strong feelings of comfort, empathy, and connection to others. It most frequently comes in tablet form, although it is occasionally sold in capsules or as powder. It is most frequently used orally and rarely snorted. MDMA use is closely tied to the underground rave (and dance club) scene throughout the world, but has also been widely used by therapists as an adjunct to psychotherapy.",2
2365,"hustler","1. n. a male prostitute, usually services homosexual men. 2. n. a person that manipulates others to his benefit.",2
2366,"blow job","v. generally oral sex performed on a male.",2
2367,"crack","As a rule of thumb, it is profoundly unwise to take crack-cocaine. The brain has evolved a truly vicious set of negative feedback mechanisms. Their functional effect is to stop us from being truly happy for long. Nature is cruelly parsimonious with pleasure. The initial short-lived euphoria of a reinforcer as powerful as crack will be followed by a 'crash'. This involves anxiety, depression, irritability, extreme fatigue and possibly paranoia. Physical health may deteriorate. An intense craving for more cocaine develops. In heavy users, stereotyped compulsive and repetitive patterns of behaviour may occur. So may tactile hallucinations of insects crawling underneath the skin ('formication'). Severe depressive conditions may follow; agitated delirium; and also a syndrome sometimes known as toxic paranoid psychosis. The neural aftereffects of chronic cocaine use include changes in monoamine metabolites and uptake transporters. There is down-regulation of dopamine D2 receptors to compensate for their drug-induced overstimulation. Thus the brain's capacity to experience pleasure is diminished.",2
2368,"rock","n. slang for [crack] cocaine",2
2369,"scum-sucking pig dog","n. a very nasty description of a low life humanoid.",2
2370,"trip hard","Space cadet, mentally disconnected. Related to acid trip, hence 'trip hard'",2
2371,"mud shark","Pouncing gay man. 'Mud' is slang for shit, combined with toothy predator = ass predator.",2
2372,"hoisty toisty","dat iz dem hoes that hoisty (hot) and toisty (toasty)(drunk)",2
2373,"assmonkey","1. A homosexual man. ;; 2. An asshole with the intelligence of a monkey. ;; 3. A homosexual man with the intelligence of a monkey being an asshole. ;; 4. A total fucking idiot (see [fucktard]) ;; 5. Actual monkey in someone's ass.",2
2374,"grip","To have a abundant amount of something",2
2375,"ghetto celebrity","Person from the projects that is real popular in his neighborhood.",2
2376,"quiff","The spurting sound made by the female genitalia when it is extremely saturated with sex fluids.",2
2377,"my BAD","syn. mea culpa",2
2378,"hootie hoo","Ghetto call to see what is going on or what is lurking in the streets.",2
2379,"house","n. 1. A structure or dwelling ;; 2. Anywhere you are right now, usually used to accounce one's arrival. ;; 3. A type of electronic based music, similar to trance or rave.",2
2380,"clown","v. to clown, clowning, clowned. To laugh, make fun of, or find joy in a person or event. Almost always used in a derogatory or degrading fashion. ;; n. A fool or jester; someone that you laugh at or 'clown' at.",2
2381,"strap","n. A gun or firearm, usually a pistol.",2
2382,"Slagger","Similiar to 'homie' or 'bizznatch.'",2
2383,"Krusty keblar","When you don't wipe up your seman after masterbation and it sticks to your underwear.",2
2384,"narc","1. n. Short for a Narcotics officer. A member of Law Enforcement that enforces drug laws. ;; 2. n. A person who is not a member of Law Enforcement but turns you into the police for doing or dealing drugs. ;; 3. n. A person that turns you in for something you did wrong; specifically to any type of authority figure like parents, cops, teachers, boss, etc. ;; 4. v. The act of turning someone into law enforcement or authority figures.",2
2385,"Elmers delight","When semen glues your hands together",2
2386,"snoodle","The Act of rubbing together Homosexual Male genitalia; The rubbing together of two or more penises",2
2387,"around","a hoe that been wit too many dudes",2
2388,"chub","The act of rubbing an Item on your genitalia for malicious or humorous reasons.Similar to Stink Palm",2
2389,"ripped","one sip too many for the road",2
2390,"broke","dat feeling you get when you gots no bones",2
2391,"ride","1. wat you do to yo biach ;; 2. wat your drive ;; 3. wat happens when da paddy wagon comes around",2
2392,"HP Certified","To be Certified Immune to Most common Computer hacking attempts",2
2393,"cush","A Special Form of HydroPhonic Marijuana. Very Powerful who's effects last very long",2
2394,"lamer","Phreaker/Hacker who has no real skills, but talks alot.",2
2395,"chupacabara","Family Memeber who leeches off other family members all the time",2
2396,"elbow","(Street slang, more common in the South) A pound of marijuana (mary jane, pot, whatever)",2
2397,"sliquid","not quite a solid, but nptauie a liquid therefore a sliquid",2
2398,"cumguzzler","a man or woman who likes to drink the sexual excretions of a penis.",2
2399,"couch potato","A person who watches excessive amounts of television, has no job, no ambition, no goals set for his/her life, respects whores instead of engaging in sexual activity, also no reguards for ones possesion ex. vehicles, living conditions etc.",2
2400,"Sky High","A drug that causes illusions and The craveing for fast food.",2
2401,"aight","alright in eboniks",2
2402,"cunt","A synonym for a woman's genitalia, vagina, pussy, etc.",2
2403,"sheep","an animal",2
2404,"buy","to purchase",2
2405,"devil dog","Snack, Dessert, Candy. Two soft black cookies with white creme in the center.",2
2406,"bajanga","a multi-source word used to describe an aray of things",2
2407,"bajanga","A word used to describe a myriad of objects and concepts but often mistaken for a sex organ.",2
2408,"Splooge","giz ( joy juice ) or ne thing that gets on you or on something",2
2409,"creamed","Used to describe an unexpected orgasm.",2
2410,"butt-load","Generally referred to as a large amount of something, especialy money.",2
2411,"sexually frustrated","horny",2
2412,"sha bang bang","a cool way to reply to sudden things",2
2413,"bajanga","Female sex organ, vagania",2
2414,"Piss","Urine",2
2415,"Douche Bag","Slang name that you call someone. A stupid person.",2
2416,"fag hag","n. A woman who enjoys hanging out with gay men.",2
2417,"kma","Kiss my ass",2
2418,"ninja foot","crotch cleavage, esp. on a woman. The outer lips of female genitalia visible through tight clothing.",2
2419,"oh shit bar","Better referred to as the pussy handle.",2
2420,"Splooge","the white sticky substance emitted from a penis while masturbating on a womans face",2
2421,"Queef","A queef is a true delight - a wee zephyr being born from marylin, a ladies vulva.",2
2422,"bukkake","to soak, marinate",2
2423,"newer","Something thats new'r",2
2424,"ain't no nothing none not","Quintuple negative.",2
2425,"ain't no nothing none not","Replace phrase with one of the following: ain't, no, nothing, none, not",2
2426,"Fart pipe","A musical instrument from the 14th century. Inserted in the mouth and anus, the colon acts as a resonnance chamber.",2
2427,"science class","A drug lab.",2
2428,"Chaa","Obsolete. Archaic. 'Yes'",2
2429,"yayay","similar in usage to 'true'. An affirmation. Inflection is important. The shorter 'yay' is akin to a simple 'true', while 'yayAYEEE' is similar to 'WHAT WHAT' or 'hell YEAUH' Derived from Ice Cube's usage in 'We be Clubbin' and 'Push Rhymes Like Weight'",2
2430,"slizzard","A gentler 'krunk'. Probably a result of too much [syrup], rather than krunk, which is a result of too much hard or malt liquor",2
2431,"cream","Cash Rules Everything Around Me",2
2432,"btw","By The Way",2
2433,"Snap!","What you say to someone whom has been 'jacked up'",2
2434,"bleeach","What Snoop-Dogg does his laundry with.",2
2435,"hood rat","dat biach who is down wit the getto boys",2
2436,"yo daddy","wat yo biach calls you right before you put out",2
2437,"down","To be 'down' means to be 'with it'. Respected in the thug community.",2
2438,"earthquake party","A spontaneous reaction to absolutely nothing which involves one individual of the group declaring the act and the other members acknowledging the declaration by flailing themselves at nearby walls while yelling 'earthquake party,' along with sounds that compliment the smashing of one's body into walls as if an earthquake were occurring.",2
2439,"Rush","Verb - To bring violence to someone.",2
2440,"drama","Trouble, crime, violence.",2
2441,"chin-check","Punched in the chin, specifically, or just violence in general.",2
2442,"set","Gang, specifically a subsidiary gang. For example, Piru Bloods is a set of the Bloods Gang.",2
2443,"duck sick","Dick sucked. To get your 'duck sick' means to get your dick sucked.",2
2444,"dopeman","A dope dealer. This can be crack,weed, or anything in between.",2
2445,"rocks","Crack rocks.",2
2446,"64","Chevrolet '64 Impala.",2
2447,"11-Feb","Armed robbery.",2
2448,"base head","Cocaine addict.",2
2449,"lbc","Long Beach, California.",2
2450,"slow your roll","Slow down.",2
2451,"step","Rush, bring drama or violence to.",2
2452,"deuce deuce","A .22lr calibre firearm.",2
2453,"gauge","12-gauge shotgun.",2
2454,"real proper like","With utmost efficiency and hatred.",2
2455,"break you off somethin","To 'break'(unseat) a bullet from it's casing in the process of firing a firearm. ie to kill someone.",2
2456,"Loc","Homee, friend.",2
2457,"locs","Dark sunglasses, as worn by Compton gangsters. 400% UV protection, popularized by Eazy-E.",2
2458,"break","To beat, or kill.",2
2459,"blast","Shoot with a firearm.",2
2460,"trick-ass bitch","Also bitch-ass trick. Generally a female slut/whore, but can also be used on males.",2
2461,"up on things","Knowledgeable of the ways of the street.",2
2462,"slug","Bullet.",2
2463,"crew","Gang, set.",2
2464,"break yourself","Run away.",2
2465,"clique","Crew, set, group of friends.",2
2466,"dip","Have sex with one of many females.",2
2467,"set trip","Bring violence in the name of your gang. Gang violence.",2
2468,"bow down","Give respect to, show inferiority to, submit.",2
2469,"bomb","Insult, kill.",2
2470,"jers","New Jersey.",2
2471,"44",".44 Magnum firearm.",2
2472,"sling rocks","Deal crack.",2
2473,"low-low","Lowrider.",2
2474,"bust a nut","Have an orgasm.",2
2475,"biznatches","(noun): A collection of all your [bitches].",2
2476,"crud","subsitute for the word crap, or something described as crusty and nasty",2
2477,"vinegar","vin = wine in french ;; egar is a variant of english 'eager'",2
2478,"fart","Adding to previous defition, usually farts can either be loud and friendly, or silent and deadly...",2
2479,"Sac","A fleshy bag containing 2 testicles",2
2480,"flip a bit","Derived from binary logic",2
2481,"dig it","What others can do when someone is talk'n 'bout [Shaft].",2
2482,"shaft","1. A black private [dick] that's a sex machine to all the chicks. ;; 2. The man that would risk his neck for his brother man ;; 3. The cat that won't cop out when there's danger all about. ;; 4. A [Bad Mother]-- ;; 5. A complicated man, no one understands him but his woman. ;; 6. John Shaft.",2
2483,"dick","A detective, often one in the private sector",2
2484,"Ram","A loven animal with horns that is ranched in northern Europe.",2
2485,"script kiddie","A young hacker in dire need of a spanking",2
2486,"BIG KID","A child that uses Pull-Ups to potty train.",2
2487,"wanna","Term used by evil clowns that want you to stare into their dead lights.",2
2488,"duck sick","A phrase made up by a rapper to rhyme with a word in the previous line of the song. This is often necessary when the rapper foolishly uses a word that does not end in 'o' like yo, ho, bro,... or 'a' like nigga, rappa, gansta,... When leaving this collection of easily rhymed words, rap often degrades into Dr. Seus quality rhymes.",2
2489,"forty-two","The age where your usefulness to society begins to diminish.",2
2490,"microsoft","An enlightened company that is try to standardize software program interfaces to reduce training time while also providing useful and powerful applications.",2
2491,"spank","1. A disciplinary measure for children whereby the child is striken on the bottocks, either bared or clothed, with either the hand or an implement such as a wooden spoon. ;; 2. A fetish were but consenting adults strike each other on the butt to induce sexual pleasure.",2
2492,"skid mark","Something left in ones underwear when their [ass goblin] doesn't do a good job.",2
2493,"bleavage","Describes the rigorous bleating of sheep and rams when the sheep are in heat.",2
2494,"budonkadonk","A large butt",2
2495,"dolt","Extremely Stupid Person",2
2496,"eat the path","An exclamation of contempt, somewhat like 'eat s**t'. Comes from level 17 of the game Marathon Infinity, titled 'Eat The Path'.",2
2497,"gold digger","a girl that is (or getting) with you only for what you can buy. It is common knowledge that girls are either this or [panty dropper]",2
2498,"Panty Dropper","basically a girl that likes the cock. Common knowledge tells us that girls are either this or a [gold digger]",2
2499,"hellagood","something that is ridiculously good",2
2500,"leetmo","Like elite, only even more so.",2
2501,"sausage fest","a shitty-ass party where there are no ladies. or any group where there is no ladies or they are [ricockulous] ly outnumbered. this could lead to [bookaki]",2
2502,"Jig","Somthing that is roughly constructed - usually in a hurry.",2
2503,"yep","you're drinkin a beer, and u dont have nothin else to say.",2
2504,"u got beef?","when a person wants to kick some arse",2
2505,"TMI","Too Much Information - way more than you need/want to know about someone.",2
2506,"shit","A bowel movement, a turd!",2
2507,"prick","A very mean and unfair person!",2
2508,"Scroat","Term of abuse. Derived from Scrotum.",2
2509,"Yord","Verb. To give a totally inappropriate response to a given stimulus.",2
2510,"Yoink","An exclamation that, when uttered in conjunction with taking an object, immediately transfers ownership from the original owner to the person using the word regardless of previous property rights.",2
2511,"bukkake","To execute by means of drowning.",2
2512,"slurry","A meretricious woman. ;; A dirty little slutbag moll. ;; A whore. A slut. A woman of ill-repute. ;; A ho.",2
2513,"grope","to touch another in an aggressively sexual way",2
2514,"rock","to use. to make do with. usually to great effect.",2
2515,"snarky","A witty mannerism, personality, or behavior that is a combination of sarcasm and cynicism. Usually accepted as a complimentary term. [Snark] is sometimes mistaken for a snotty or arrogant attitude.",2
2516,"shag","A dance done on the beaches in the southeastern United States.",2
2517,"slut puppy","young woman, usually with loose/no morals.",2
2518,"fuckilydoodah","hell to everyone",2
2519,"Ford","Found on road dead.",2
2520,"cooter","vagina",2
2521,"cootie cutters","very short shorts, displaying the cootie. Can be quite painful.",2
2522,"pleather","1: Immitation leather, Plastic Leather",2
2523,"SOS","Same old shit.",2
2524,"super tow truck","A large tow truck much bigger than a semi, and with a density that rival collasped atoms. This truck is located at the center of the earth and is responsible for 99% of gravity on this planet.",2
2525,"Good people","People that are deficient in [evil] ;; The [evil] of one person can often overwhelm good people forcing them to convert.",2
2526,"evil","The natural product of government, economy, and advance society in general. Its produced in discrete quanta called [litte children's souls] ;; To conform; To be evil is to conform to the norm.",2
2527,"jukage","to be juked; juked upon; juked on phonics.",2
2528,"even much more better","Superlative expressing that something is alot better than something else. ;; Somtimes used in order with much more better, [more better], and better for degrees of relation.",2
2529,"twizat","The ebonics slang term for 'twat' or vagina.",2
2530,"'bout it","A simple way of expressing that you are done with a idea. Often needed when you are unable to fully articulate an idea, and thus need let others know you done trying.",2
2531,"pyrophobia","Fear of fire, or pyro",2
2532,"ponk","to whore, bitchslap, disgrace, own",2
2533,"smexy","sexy in a totally hot way",2
2534,"wub","term used to express your sexual feeling to someone; can also be used to let someone know you like them",2
2535,"blasted","really really high",2
2536,"Toothpaste  I'd use her shit as","Term of affection about a third party",2
2537,"Rusty (Bullet hole)","Anus",2
2538,"Scammells","Nipples of a particularly large and protruding kind",2
2539,"tamagotchi","Annoying little fucker that should be thrown out of a bus into oncoming traffic.",2
2540,"Good people","In order to use this phrase correctly, you must use incorrect grammar. Never switch 'people' to 'person'.",2
2541,"Anna Kournikova","Verb. To drool over someone who looks underage in terms of lawful sexual activity but in fact is at or over the age of consent as defined under English Law (16)",2
2542,"sanch","Abbreviation of 'dirty sanchez'.",2
2543,"dick ass","1. One who has a dick in their ass. ;; 2. A repulsive individual; one whom you don't particularly care for. ;; 3. One whose ass resembles a dick.",2
2544,"saxomophone","Saxophone, as pronounced by Homer J. Simpson.",2
2545,"hella stupid","Very stupid; extremely stupid; not having much intelligence.",2
2546,"Face","Oral sex.",2
2547,"meat stick","1. A stupid person; A blunderous fool. ;; 2. One who resembles a penis. ;; 3. A penis.",2
2548,"stanky","1. Quality of uncleanliness; dirty. ;; 2. A whore, tramp, or slut.",2
2549,"stank","1. Smelly; unclean ;; 2. Whore, slut, tramp. Especially one that is 'used up'.",2
2550,"stanky poo","Pet name for one who is stank.",2
2551,"stanky ho","An unclean whore, slut or tramp.",2
2552,"head job","Oral sex.",2
2553,"drive by suicide","Car bomber who blows themselves up and harms nobody else in the process.",2
2554,"lewinsky","a blowjob",2
2555,"Ford","The antithesis of all things unrealiable",2
2556,"pronoblem","Variant of no problem.",2
2557,"502","n. Police code for drunk driving.",2
2558,"the man","Sinister corporate and/or government interests.",2
2559,"owned","A victory cry used when having conquered or captured something, especially computer servers or human egos.",2
2560,"4200","420 (when you're REALLY baked)",2
2561,"Prapped","messed up",2
2562,"Hommie","friend",2
2563,"log","1. The male gentialia. ;; 2. A children's toy produced by fictional company Blammo!",2
2564,"Pussy handle","The handle in most cars that you hold if your old or a total pussy.",2
2565,"thud","Warning of a pig rollin up. From root Pipus Hitus The Groundus.",2
2566,"pichicula","An idiot or moron.",2
2567,"foo","used often by mr T",2
2568,"asstastic","Lame; weak; inferior.",2
2569,"stfw","Search the Fucking Web. Analogous to [word]RTFM[/word].",2
2570,"fap","The onomatopoeic representation of masturbation. Often used to suggest that something is attractive.",2
2571,"asshat","One who has their head up their ass. Thus wearing their ass as a hat. Asshat",2
2572,"scrumptulescent","Absolutely delightful, excellent, or delicious in the extreme. Referring more to thought and form, than to flavor. (Root word: scrumptious Source: Saturday Night Live, 'The Actor's Guild')",2
2573,"Hoss","A term for a female whore. Another term for a Hoe.",2
2574,"Yatch","Shortened form of Biznatch. Or another term for a bitch.",2
2575,"Hoss","H.O.S.S. Helicopter Onboard Surveillance System ;; H.O.S.S. Homing Optical System Study",2
2576,"tweaking","High on meth/crank. See also 'Smebbin'.",2
2577,"grok","Understand",2
2578,"party line","A line used a at a party to make a chick want you.",2
2579,"ashy","dry skin",2
2580,"mothercunter","A real fuckhead. ;; A harsh term of abuse. ;; Akin with being called a motherfucker, only with that little bit of extra 'pep'.",2
2581,"cornholio","One who requires TP for his [bunghole]",2
2582,"schlitts","Excessive and often burningly painful diaherria.",2
2583,"LaserJet Printer","A heroin dealer, see [balloon]",2
2584,"kear","Friction burn on the penis resulting from kear or excessive masturbation without lubrication.",2
2585,"kelpsy","Something that is more worthless than shit but is fun to fuck.",2
2586,"snitchin","to tell others of your illicit activities, such as police",2
2587,"thrasher","Anyone, male of female, who is predisposed to arbitrary violence.",2
2588,"big pimpin","tight",2
2589,"retarted","people that aren't preps",2
2590,"Janks","Anything that can hurt.",2
2591,"Beast Eater","Someone who eats a beast. or really sucks. Usually Anonymous. Joins Beast Eaters Anonymous. B.E.A.",2
2592,"B.E.A.","Beast Eaters Anonymous",2
2593,"M.C.C.","Mobile Command Center. Russian. Usually expierences metdown. Used to descirbe any peaice of faulty equipment.",2
2594,"DBA","D.B.A. - Anonymous Dick Beaters",2
2595,"Mange","Entanglement of the fur. Infected. Pussy.",2
2596,"poont","Fart. Came from sound.",2
2597,"lamo","Some one who is lame ;; An idiot who doesent think straight ;; A dork or dorkess, cant add 1+1. Stupid, dull and ugly.",2
2598,"screwed up","Some one who is messed up or deformed. ;; Someone who is stupid or ugly. ;; Someone who is screwed or in a screwed up situation. ;; Someone who doesn't make sense",2
2599,"crib","a house or a home",2
2600,"nubi","newbie...generally an amateur hacker.",2
2601,"fizzoo","Fool, or Foolish one",2
2602,"Finazz","A greeting, as in 'Hey' ;; A term denoting friendship",2
2603,"2 litre of faygo","something cheap called pop",2
2604,"kug","Casual - To have sex.",2
2605,"bishie","A hot guy or girl (usually guy). ;; Derived from the Japanese 'bishounen' and 'bishoujo'.",2
2606,"pooter","Kentucky slang for computer.",2
2607,"hit (the) skins","To have sex with a woman; term refers to the outer labia; see also [giving skins]",2
2608,"give skins","To consent to sexual relations with another; primarily refers to women; see also [hit (the) skins]",2
2609,"recognize","Exclamation encouraging another to reflect upon his or her actions, potentially in light of punitive action",2
2610,"puddle","1. noun 'puddle': A group of ravers, strung out on [ecstasy], all piled on top of each other. ;; 2. verb 'puddling': To engage in a puddle. ;; 3. adjective 'puddled': Being thoroughly and totally absorbed by the puddle.",2
2611,"thumb candy","1.) Small hand-held videogames, like those produced by tiger electronics. Use in the context that the game keeps your fingers busy",2
2612,"smack","1.) Drugs in general, heroine in the specific. ;; 2.)Something that is addictive and destructive to some degree.",2
2613,"bitch flakes","a cereal consumed by women that turns them in to major, major beotches by the afternoon. an extremely dangerous concoction.",2
2614,"fucktard","A complete fucking idiot",2
2615,"moe","to eat.",2
2616,"Crackin","Going on",2
2617,"no more redheads","What you say after the fire crotch throws the dice betting all your money and losing. Alt - what you say after that cute librarian turns into a dominatrix.",2
2618,"Hot Karl","Fellatio after anal sex",2
2619,"asscock","The reproductive organ of a male donkey.",2
2620,"punked","when you hook up with a guy and he doesn't call you ever again",2
2621,"FnB","Far n Back, a chick so ugly that you can only look at the back from far",2
2622,"dooky","poo",2
2623,"dickwad","A worthless piece of shit. Also known as a wad-of-dick.",2
2624,"fomo","The opposite of 'mofo' ;; The opposite of mofo, come out this isnt hard",2
2625,"Dickhead","The head of the Dick or Penis ;; Also known as the Glans. ;; To insult a person this term may be used or the word putts, for the male genitalia.",2
2626,"Dogshit","The stuff (shit) that a dog shits out. ;; The brown or black logs you see on the sidewalk when you walk down the street.",2
2627,"cuttin'","Fucking",2
2628,"YHBT","You Have Been Trolled",2
2629,"fagtastic","so extraordinarily [gay] that it's unbelievable. fantastic, even.",2
2630,"fagnanimous","the description of someone who is so caring and giving that they have to be [gay]. see [fagtastic] for a similar idea.",2
2631,"fungulicous","Fucking hungry! haven't eaten in years",2
2632,"slamboree","An uncanny degree of slamming. Also synonymous with [word]'slaughter-fuck'.[/word]",2
2633,"neatotastic","neat enough to be tastic. fan even. fucking fantastic neat pwnage. neatotastic.",2
2634,"roxors","To rock someone socks off, boxers off, cock off. mmmmmm....cock",2
2635,"bwar","like the llama talk brawr, but more rawr like",2
2636,"Shanghai Surprise","To spunk in someone's hair during the night. When they wake up, their hair will have the consistency of wonton noodles.",2
2637,"mud-wrestling","a pool of mud in which two beutiful women wrestle each other",2
2638,"mowe","",2
2639,"swerved","to get drunk",2
2640,"bullshittitude","the extent to which an object, concept, ideal, etc is [BULLSHIT].",2
2641,"A+","Comptia A+.",2
2642,"jolt","Caffiene.",2
2643,"apm","See [Advanced Power Management (APM)]",2
2644,"DDR","See [RAM].",2
2645,"Ram","Random Access Memory.",2
2646,"esd","Electro-Static Discharge",2
2647,"litte children's souls","See: [fucktard] can't [spell] [little children's souls] right.",2
2648,"spell","You can't spell?",2
2649,"perl","random line noise that does something useful most of the time",2
2650,"anti","See [disestablishmentarian]",2
2651,"ism","see [anti]",2
2652,"moron","A person who lacks the capacity for abstract thought or even the most basic logical analysis. Synonym: [Windows Dweeb]",2
2653,"mullet","A person with a mullet (see definition 1).",2
2654,"craptacular","[I]adj.[/I] notable or spectacular in its poor quality",2
2655,"codswollop","Nonsense - old irish slang",2
2656,"foo","One of the default variables in programmer's slang. See [bar].",2
2657,"bar","The other default variable used in programmer's slang",2
2658,"bar","See [foo]",2
2659,"mupa","greetings, salutation.",2
2660,"dammit","usually used when something doesnt go the way you wanted it to...",2
2661,"homey","The fondest of friends. ;; Term of endearment towards another to signify closeness.",2
2662,"brizew","Urban Slang for your beer.",2
2663,"bass","Low frequency oscillations produced by rapid movement of large volumes of air at multiple cycles per second thus producing a very low rumbling sound that is harnessed and used in music form",2
2664,"quad","Slang term for the word BassLow frequency oscillations produced by rapid movement of large volumes of air at multiple cycles per second thus producing a very low rumbling sound that is harnessed and used in music form",2
2665,"mufucka","Term adj. Used in both a positive and negative manner as a descriptor of the person being spoken to or an object in question and also to describe ones state of frustation.",2
2666,"beeotch","Urban term of endearment used by males to describe their significant other.",2
2667,"olpunkassbitch","adj. used to describe love and affection towards wife or girlfriend.",2
2668,"G","short term for Gaffle. ;; or to steal",2
2669,"gonad","Balls, Scrotum, Nuts, Bizalls, Jiz Bag, giggleberries, yogurt factory, nads, kahonies, ka-chachkas.",2
2670,"lowrider","Originally considered a motorcycle, then later used to describe motor vehicles that were modified both in their suspension and on their exterior. Originally started by the spanish/Latino People also called the movement. The lowrider craze has taken the world by storm.",2
2671,"Pussy handle","more commonly known as the 'oh shit handle'",2
2672,"Frienemy","A frienemy is someone, who is your friend but also an enemy. ;; It is a word between love and hate.",2
2673,"pearl tear","When you spunk in someone's eye.",2
2674,"Pearl nosering","What a woman gets when you try to give her a pearl necklace, but aim too high. Usually worn with pearl brow rings, pearl liprings, pearl earrings.",2
2675,"makin the beast with two backs","Face to face Sex... Yeahhhh Baaaaaaby",2
2676,"cooter fart","a queef",2
2677,"ass n titties","A happy jolly phrase used in conjunction with massive amounts of alcohol at the local tittie bar to describe what they are looking at",2
2678,"bacon beeots","What urban thugs put on their salads.",2
2679,"Bleaoch","What urban thugs use to Lighten their hair.",2
2680,"bessa","Alternative word for better meaning should. better as in should not better as in more than another.",2
2681,"part - y","A small phrase used to signify about to have some fun. Usually used in a rap tense.",2
2682,"SNAPS","Adj. used to describe money or skills.",2
2683,"Fucking F-Swear","1. To agree with something. ;; 2. Reaction to something that went from.",2
2684,"krnidiot","The coolest kid in the world... ;; 'Robin'",2
2685,"Tite","somthens crunk or somethen look crunk ;; anotha word for crunk",2
2686,"krnidiot","da 'smart' kid",2
2687,"gold digger","a person who goes out with you fo yo money",2
2688,"Lil'","a sorter and much titer way to say little",2
2689,"cootchie cutter","shorts that are too short",2
2690,"jams","a popular song",2
2691,"oy vey","Jewish exasperated exclamation",2
2692,"oh em gee","oh my god; omg",2
2693,"eeeeeyy","Fonze's greeting; 'hey'",2
2694,"youguysh","pronunciation of 'you guys'",2
2695,"perv","a pervert",2
2696,"WAGer","One who is obsessed with the hit show 'Will and Grace'!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",2
2697,"Alrighty","Cute twist on the boring word 'alright' ;; Also, many of you will remember its usage in the halliriously stupid film 'Ace Ventura: Pet Detective'",2
2698,"lilly licker","Female who likes to orally pleasure other females",2
2699,"werd","Synonymous with word, but it's way cooler. Only cool peeps can use werd.",2
2700,"werd","Can be used in a comical sense inside of a sentence",2
2701,"devil dog","A member of the US Marines often used in friendly conversation",2
2702,"Ford","1. First On Recall Day ;; 2. Fix Or Repair Daily ;; (Adj.) A piece of garbage",2
2703,"XP","Synonym for something that looks fairly decent but sucks ass when you try to use it.",2
2704,"chili dog","Similar to the cleveland steamer, while fucking a girls tits, you take a shit between the breasts, thus creating a chili dog.",2
2705,"government","Something that everyone would be better off if there was less of.",2
2706,"Knowledge","Getting head",2
